,summary,correct,rouge1,rouge2,rougeL,rougeLsum
0,"Damptetthet er tettheten av en gass, for eksempel luft, som har samme trykk og temperatur som en normalgass.","Damptetthet er et mål på tettheten (densiteten) til damp.
Damptettheten kan uttrykkes som absolutt eller relativ tetthet.",22.2222,5.8824,22.2222,22.2222
1,"Neologismer er i språkvitenskapen en betegnelse på det fenomenet at en del personer med alvorlige psykiske lidelser (spesielt schizofreni) kan konstruere nye ord, vri på ord eller tillegge ord en helt ny betydning.","Neologisme er et nyord, en ordkonstruksjon som har oppstått med et bestemt formål, uten at det er etablert som et oppslag i en ordbok eller utgjør en del av ordforrådet i normert språk.",33.3333,5.7143,19.4444,19.4444
2,"Bjørge er eit mannsnamn som går tilbake til det norrøne Bjørg.
I dette toledda namnet tyder forleddet ‘gud’ og etterleddet’ ‘strid’.","Bjørge er eit mannsnamn som er kortform av samansette namn på Bjørg-, til dømes Bjørgulv, med tydinga ‘berging, hjelp’ i forleddet.",44.0,25.0,40.0,40.0
3,"Sigurd Bronger er en norsk smykkekunstner.
Han er særlig kjent for sine smykker i serien «Souvenir from Amsterdam».","Sigurd Bronger er en norsk smykkekunstner.
Han arbeider i den nederlandske smykketradisjonen, der enkelhet og stram form dominerer.
Med sine bærbare instrumenter gir han smykkene et humoristisk og overraskende uttrykk.",36.0,25.0,32.0,36.0
4,"Arkespor er sporer som dannes i sporehusene hos planter, moser, bregner og noen kråkefotplanter.","Arkespor er et cellevev som gir opphav til cellene som danner sporer i planter.
Arkespor ligger inne i unge sporehus.",34.2857,6.0606,28.5714,28.5714
5,"Deviasjon er en måling av magnetiske komponenter på et skips kompass.
Det er vanlig å benytte en deflektor for å fastlegge deviasjon.","Deviasjon er i navigasjon den feilen på magnetkompasset som skyldes magnetiske forhold på skipet.
Både skipets byggemateriale (spesielt stål), elektriske kabler og skipets last kan påvirke det lokale magnetfeltet slik at det oppstår deviasjon på kompasset.
Under navigasjon må kursen på magnetkompasset rettes for deviasjon og misvisning for å finne riktige (rettvisende) geografiske kurser.",20.5128,2.6316,17.9487,20.5128
6,"Ekspandert plast er skumplast som fremstilles i densiteter helt ned i ca.
15 kg/m3.","Ekspandert plast er celleplast som er fremstilt ved esing (ekspandering) av kompakt plast.
Esingen skjer gjerne ved hjelp av tilsatte esemidler som danner gasser når plastmassen varmes opp.
Esemidlene kan være gasser, flyktige væsker eller stoff som ved oppvarmingen spaltes kjemisk under dannelse av en gass.",12.5,6.4516,12.5,12.5
7,"Biljard er et spill som spilles med kuler, køer og køer.
I biljard spilles det både i pool og i hjemmebiljard.","Biljard er et samlenavn på presisjonsspill hvor kuler støtes med en stokk (kø) på et rektangulært biljardbord.
To personer spiller mot hverandre.
Bordet mangler hull eller har seks hull, ett i hvert hjørne og ett midt på hver langside.
Som sport er biljard delt i de offisielle grenene carambole, pool og snooker.
Carambole spilles på bord uten hull, de to andre på bord med hull.",34.7826,6.6667,23.913,34.7826
8,Beksøm er en trådsøm som brukes til å holde sålen sammen.,"Beksøm, egentlig en grov håndsøm med tråd innsatt med bek (bektråd) og en grisebust i hver ende, mest brukt til støvler.
Teknikken er nå for det meste erstattet med moderne maskinsøm eller liming.",25.9259,3.8462,18.5185,22.2222
9,"Myxobolus cerebralis er en parasitt i sporedyrfamilien.
Parasitten finnes hos yngel av regnbueørret og bekkerøye som oppdrettes i jorddammer.","Dreiesyke er en fiskesykdom som forårsakes av parasitten Myxobolus cerebralis (tidligere beskrevet som Myxosoma cerebralis), som er klassifisert i gruppen myxosporidier, en undergruppe av sporedyr.
Sykdommen er beskrevet fra Norge.",30.7692,8.0,19.2308,23.0769
10,André Bergdølmo er en norsk tidligere fotballspiller som er kåret til Norges beste spiller og tildelt Kniksen-prisen i 2002.,"André Bergdølmo er en norsk tidligere fotballspiller.
Han hadde posisjonene venstre eller høyre back, men ble også brukt som midtstopper.
Harald Martin Brattbakk og Bergdølmo er de eneste nordmennene som har vunnet seriemesterskap i tre land.",39.3443,23.7288,36.0656,36.0656
11,"Ars antiqua var en fransk musikkretning som ble utviklet i middelalderen.
Den ble særlig kjent i Paris i årene rundt 300 fvt.
og var en av de mest betydningsfulle komponister i renessansen.","Ars antiqua er den flerstemmige musikk fra cirka 1150 til cirka 1300, til forskjell fra ars nova i begynnelsen av 1300-tallet.",18.1818,3.7736,18.1818,14.5455
12,"Cord er en volumenhet som brukes i Storbritannia, USA og Canada.
Enheten brukes også som mål for brensel.","Cord er en gammel britisk, amerikansk og kanadisk volumenhet for ved til brensel og for tømmer til papirproduksjon.
En cord er mengden med ved eller tømmer som er lagt i en ordnet stabel som måler 128 kubikkfot.",37.2881,10.5263,27.1186,37.2881
13,"Drikkepenger er et påslag som utbetales i tillegg til regningen.
I Norge er det vanlig å betale skatt av drikkepenger, men det er ikke noe nytt at det skal betales skatt av dette.",Drikkepenger er en ekstra betaling for en utvist tjeneste eller et arbeid og forekommer særlig i restaurantbransjen.,19.6078,4.0816,15.6863,19.6078
14,"Brettspill er spill som er basert på kasting av pinner og skjell, flytting av steiner på rutete brett, sjakk, Monopol og Monopol.","Brettspill er konkurranse utført med spillbrikker på et brett inndelt i områder, med regler for hvordan brikkene kan flyttes.
Til brettspill regnes også spill bestående av brikker eller kort som legges ut og bygger et brett eller et spillområde.
Grensene mellom brettspill og kortspill er derfor ofte flytende.",27.027,2.7778,18.9189,21.6216
15,"Glutamin er en kjemisk forbindelse av aminosyren α-ketoglutarat.
Det er et utgangsstoff for proteiner, andre aminosyrer, nukleinsyrer og kofaktorer.","Glutamin er en av de 20 aminosyrene i proteiner.
Glutamin er den vanligste og mest allsidige aminosyren i menneskekroppen.
Den deltar i en rekke biologiske prosesser.",35.5556,9.3023,31.1111,35.5556
16,"Landskrona er navnet på en by i Mandal kommune i Danmark.
Byen ligger i sørøstlige del av Mandal kommune.","Buane er navnet på en tidlig bebyggelse ved Mandalselva, i dag i tettstedet og kommunesenteret Mandal i Lindesnes kommune, Agder fylke.
Tettbebyggelsen Buane ble også kalt «De danske boder i Mandalen» og oppstod antagelig først på 1600-tallet, men navnet Buane er likevel neppe eldre enn fra første del av 1700-tallet.",29.3333,10.9589,26.6667,29.3333
