,name,config,eval_gen_len,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_samples_per_second,eval_loss,eval_runtime,eval_steps_per_second
0,beam,"{'eta_cutoff': 0.0, 'repetition_penalty': 1.0, 'top_p': 1.0, 'top_k': 50, 'temperature': 1, 'encoder_no_repeat_ngram_size': 0, 'no_repeat_ngram_size': 0, 'do_sample': False, 'num_beam_groups': 1, 'num_beams': 5, 'max_length': 150}",98.45142213460997,32.433,12.8284,22.9195,30.0561,1.506,1.8472046852111816,2357.538,0.094
1,beam_no_repeat_ngram_size_3,"{'eta_cutoff': 0.0, 'repetition_penalty': 1.0, 'top_p': 1.0, 'top_k': 50, 'temperature': 1, 'encoder_no_repeat_ngram_size': 0, 'no_repeat_ngram_size': 3, 'do_sample': False, 'num_beam_groups': 1, 'num_beams': 5, 'max_length': 150}",91.87778090678682,33.2659,13.0479,23.0309,30.8642,1.32,1.8472046852111816,2690.5528,0.083
2,beam_no_repeat_ngram_size_5,"{'eta_cutoff': 0.0, 'repetition_penalty': 1.0, 'top_p': 1.0, 'top_k': 50, 'temperature': 1, 'encoder_no_repeat_ngram_size': 0, 'no_repeat_ngram_size': 5, 'do_sample': False, 'num_beam_groups': 1, 'num_beams': 5, 'max_length': 150}",95.5871585468882,33.2602,13.1975,23.1672,30.8618,1.35,1.8472046852111816,2630.9197,0.084
3,beam_encoder_no_repeat_ngram_size_5,"{'eta_cutoff': 0.0, 'repetition_penalty': 1.0, 'top_p': 1.0, 'top_k': 50, 'temperature': 1, 'encoder_no_repeat_ngram_size': 5, 'no_repeat_ngram_size': 0, 'do_sample': False, 'num_beam_groups': 1, 'num_beams': 5, 'max_length': 150}",74.60067586595325,30.6391,9.6483,21.0468,28.4005,1.574,1.8472046852111816,2255.8494,0.098
4,beam_repetition_12,"{'eta_cutoff': 0.0, 'repetition_penalty': 1.2, 'top_p': 1.0, 'top_k': 50, 'temperature': 1, 'encoder_no_repeat_ngram_size': 0, 'no_repeat_ngram_size': 0, 'do_sample': False, 'num_beam_groups': 1, 'num_beams': 5, 'max_length': 150}",97.17741481272881,32.8518,13.0479,23.0619,30.4399,1.516,1.8472046852111816,2342.5031,0.095
5,greedy,"{'eta_cutoff': 0.0, 'repetition_penalty': 1.0, 'top_p': 1.0, 'top_k': 50, 'temperature': 1, 'encoder_no_repeat_ngram_size': 0, 'no_repeat_ngram_size': 0, 'do_sample': False, 'num_beam_groups': 1, 'num_beams': 1, 'max_length': 150}",73.11855815263306,32.2055,12.7174,23.2518,30.092,3.097,1.8472046852111816,1146.6794,0.194
6,sample_top_k_50,"{'eta_cutoff': 0.0, 'repetition_penalty': 1.0, 'top_p': 1.0, 'top_k': 50, 'temperature': 1, 'encoder_no_repeat_ngram_size': 0, 'no_repeat_ngram_size': 0, 'do_sample': True, 'num_beam_groups': 1, 'num_beams': 1, 'max_length': 150}",77.90397071247536,28.7553,8.9084,19.0877,26.6339,2.991,1.8472046852111816,1187.0905,0.187
7,sample_temperature_12_top_k_50,"{'eta_cutoff': 0.0, 'repetition_penalty': 1.0, 'top_p': 1.0, 'top_k': 50, 'temperature': 1.2, 'encoder_no_repeat_ngram_size': 0, 'no_repeat_ngram_size': 0, 'do_sample': True, 'num_beam_groups': 1, 'num_beams': 1, 'max_length': 150}",80.93607434525485,26.3317,6.9755,16.9897,24.2983,2.956,1.8472046852111816,1201.0926,0.185
8,sample_top_p_07,"{'eta_cutoff': 0.0, 'repetition_penalty': 1.0, 'top_p': 0.7, 'top_k': 50, 'temperature': 1, 'encoder_no_repeat_ngram_size': 0, 'no_repeat_ngram_size': 0, 'do_sample': True, 'num_beam_groups': 1, 'num_beams': 1, 'max_length': 150}",75.59025626584061,31.741,11.7193,22.1568,29.5749,2.426,1.8472046852111816,1463.6559,0.152
9,sample_top_p_095,"{'eta_cutoff': 0.0, 'repetition_penalty': 1.0, 'top_p': 0.95, 'top_k': 50, 'temperature': 1, 'encoder_no_repeat_ngram_size': 0, 'no_repeat_ngram_size': 0, 'do_sample': True, 'num_beam_groups': 1, 'num_beams': 1, 'max_length': 150}",77.08927062799212,29.8958,9.8216,20.2059,27.6702,2.379,1.8472046852111816,1492.9278,0.149
10,sample_eta_00006,"{'eta_cutoff': 0.0006, 'repetition_penalty': 1.0, 'top_p': 1.0, 'top_k': 50, 'temperature': 1, 'encoder_no_repeat_ngram_size': 0, 'no_repeat_ngram_size': 0, 'do_sample': True, 'num_beam_groups': 1, 'num_beams': 1, 'max_length': 150}",77.59673331455927,28.9984,9.0805,19.2689,26.8194,2.896,1.8472046852111816,1226.0541,0.181
11,sample_eta_00003,"{'eta_cutoff': 0.0003, 'repetition_penalty': 1.0, 'top_p': 1.0, 'top_k': 50, 'temperature': 1, 'encoder_no_repeat_ngram_size': 0, 'no_repeat_ngram_size': 0, 'do_sample': True, 'num_beam_groups': 1, 'num_beams': 1, 'max_length': 150}",77.81582652773866,28.9728,9.0822,19.3235,26.9164,2.897,1.8472046852111816,1225.8462,0.181
