,config,rouge1,rouge2,rougeL,rougeLsum,total_time_in_seconds,samples_per_second,latency_in_seconds
0,{},0.29116401096540034,0.1562621548769918,0.26875719608367515,0.26838217671000303,145.18999572400935,5.6408845245565775,0.17727716205617747
1,"{'max_length': 80, 'num_beams': 6, 'early_stopping': True}",0.31463006679482713,0.15112933375526907,0.2775108916030675,0.27737829419264387,458.73565097898245,1.7853419463958853,0.5601167899621275
2,"{'max_length': 80, 'num_beams': 6, 'early_stopping': False}",0.3097726257611776,0.14698258909495876,0.2709120057848017,0.27080720417882265,549.3267222979921,1.490916000907232,0.670728598654447
3,"{'max_length': 80, 'num_beams': 6, 'repetition_penalty': 1.2}",0.31447257397652967,0.1485970669896426,0.27366263339777874,0.27350748216682885,531.0105479279882,1.5423422438513723,0.6483645273846009
4,"{'max_length': 80, 'num_beams': 6, 'repetition_penalty': 2.0}",0.31883258468063846,0.14852688199573588,0.2750285356229999,0.27453689468439646,511.1267024879926,1.6023424251039593,0.6240863278241668
5,"{'max_length': 80, 'num_beams': 6, 'no_repeat_ngram_size': 2, 'early_stopping': True}",0.3156071671359732,0.14715514556347084,0.2733015430915764,0.27338989971469996,469.17714660800993,1.7456093203198184,0.572865868874249
6,"{'max_length': 80, 'num_beams': 6, 'no_repeat_ngram_size': 4, 'early_stopping': True}",0.32542765085662106,0.1567846875085259,0.2836411331471844,0.28352275939997224,466.4194727889844,1.7559301182318532,0.5694987457740958
7,"{'max_length': 80, 'num_beams': 6, 'no_repeat_ngram_size': 24, 'early_stopping': True}",0.3149229460264943,0.15129160291282895,0.27753138705122893,0.27741801159864127,474.01022546499735,1.7278108277022348,0.5787670640598258
8,"{'max_length': 80, 'do_sample': True, 'top_k': 0}",0.2843183624542963,0.10391081752190144,0.2311422111777457,0.2308051359786764,406.7536133400281,2.01350393245395,0.4966466585348328
9,"{'max_length': 80, 'do_sample': True, 'top_k': 0, 'temperature': 0.7}",0.31491326484991683,0.13290327722059647,0.26344548082117963,0.2634534641469945,364.5754294989747,2.2464487009602583,0.4451470445652927
10,"{'max_length': 80, 'do_sample': True, 'top_k': 50}",0.28964312876877263,0.10738211834798495,0.23725188001367228,0.23685683072063202,407.0293799620122,2.012139762678647,0.49698336991698683
11,"{'max_length': 80, 'do_sample': True, 'top_p': 0.92, 'top_k': 0}",0.29378058284693753,0.11476530581945782,0.24284318510717764,0.2428703470460151,394.61475791898556,2.0754418925410305,0.4818251012441826
