,config,rouge1,rouge2,rougeL,rougeLsum,total_time_in_seconds,samples_per_second,latency_in_seconds
0,"{'name': 'beam_search_12', 'config': {'num_beams': 12, 'max_length': 150, 'batch_size': 1}}",0.29093110045342724,0.1374316278086902,0.25502036057932576,0.2553318205227732,1227.5305315430742,0.6671931809064426,1.4988162778303715
1,"{'name': 'beam_search_6_ngram_3', 'config': {'num_beams': 6, 'no_repeat_ngram_size': 3, 'max_length': 150, 'batch_size': 1}}",0.327560744721247,0.15390815085201437,0.28057809482810786,0.28075256579983027,792.5413339480292,1.0333845881831392,0.9676939364444802
2,"{'name': 'beam_search_6', 'config': {'num_beams': 6, 'max_length': 150, 'batch_size': 1}}",0.30042821898559813,0.14268534481130168,0.2630171803629505,0.26328376093433753,957.7743025970412,0.8551075110067691,1.1694435929145803
3,"{'name': 'greedy_config', 'config': {'max_length': 150, 'batch_size': 1}}",0.32071257842261225,0.14782343311871443,0.2781478401897378,0.2785195251712208,479.4192823190242,1.708316770319233,0.5853715290830577
4,"{'name': 'beam_search_12_ngram_3', 'config': {'num_beams': 12, 'no_repeat_ngram_size': 3, 'max_length': 150, 'batch_size': 1}}",0.32513920451507944,0.1526862228264632,0.2781138374277697,0.2783235311385873,957.93122734793,0.8549674304568121,1.1696351982270208
5,"{'name': 'beam_search_6_ngram_5', 'config': {'num_beams': 6, 'no_repeat_ngram_size': 5, 'max_length': 150, 'batch_size': 1}}",0.3264035816325389,0.15422881139130998,0.2804867605035171,0.28061271351082184,820.16496783006,0.9985795932821391,1.0014224271429304
6,"{'name': 'beam_search_12_ngram_5', 'config': {'num_beams': 12, 'no_repeat_ngram_size': 5, 'max_length': 150, 'batch_size': 1}}",0.3228700930886171,0.15234461793902004,0.2770690056193391,0.27719680156538995,1006.1671486429404,0.8139800639532104,1.2285313170243473
7,"{'name': 'beam_search_6_grouped', 'config': {'num_beams': 6, 'num_beam_groups': 6, 'max_length': 150, 'batch_size': 1}}",0.3206529739323538,0.14767518989301132,0.27808828658161744,0.2784647850753511,766.9197449929779,1.0679083507068903,0.9364099450463712
8,"{'name': 'sample_top_k_50', 'config': {'do_sample': True, 'top_k': 50, 'max_length': 150, 'batch_size': 1}}",0.29019133432036825,0.10596163030369857,0.23516692127358574,0.23512331747578716,613.7030353390146,1.3345216706441376,0.7493321554810923
9,"{'name': 'sample_temperature_07_top_k_50', 'config': {'temperature': 0.7, 'do_sample': True, 'top_k': 50, 'max_length': 150, 'batch_size': 1}}",0.3130851105750584,0.13120551849129877,0.2626271408709383,0.2628259096870905,526.1970058380393,1.5564512737879088,0.6424871866154326
10,"{'name': 'top_p_07', 'config': {'top_p': 0.7, 'do_sample': True, 'max_length': 150, 'batch_size': 1}}",0.3196367643049373,0.1374768760723789,0.268014073167028,0.2680880568467743,530.2290566780139,1.544615463232421,0.6474103256141805
11,"{'name': 'top_p_095', 'config': {'top_p': 0.95, 'do_sample': True, 'max_length': 150, 'batch_size': 1}}",0.2983101057391034,0.11691803315760213,0.2450652025375849,0.24539125345392956,604.9399110740051,1.353853473720976,0.7386323700537302
